Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Front_Clearance,Bathtub_Side_Clearance,Room_Shape
B-041,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",60,79,101.3213300781318,30,84,0,27,30,28,19,15,-18.83345759310811,8.452834611411415,58,28,270,24.006771028674905,10,1,30,21,33,-25.501033791620245,9.94058589731837,30,21,0,25.82217459499706,10,1,60,36,15,7.635412707126401,-50.54801831290538,102,60,90,24,1,22.637032849973668,22.79581401514425,Rectangle
B-010,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
96,0 ;
96,66 ;
36,66 ;
36,60 ;
0,60 ;
0,0""",72,96,86.62596729352346,30,84,39,0,30,19,28,15,12.447144486827504,5.963048155152622,96,57,0,21.58289478584768,10,1,21,30,33,15.042054988914668,6.3097104165373885,96,30,270,28.14315558254256,10,1,36,60,15,-7.839260812781216,7.732267285414599,36,60,0,0,1,20.05269581332832,21.31171216751293,Rectangle
B-022,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",81,79,88.09169405195092,30,84,57,3,30,19,28,15,10.016133067116144,-19.14993857107324,48,66,180,23.73763357191747,10,1,21,36,33,9.089082657272057,0.0500741055798403,21,36,90,26.178934354384072,10,1,0,0,0,-96.11337354090456,-14.930861954792542,0,0,270,0,1,20.581683580661437,23.481339392131783,Rectangle
B-042,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",85,76,102.011914341557,30,84,102,27,30,28,19,15,6.475041657096841,6.719730367655791,63,28,90,24.949062168942987,10,1,21,30,33,6.364765741020362,33.895753008827164,102,21,90,25.04211232209979,10,1,60,36,15,7.888979972701874,6.630460115606592,36,60,90,24,1,22.61771325965389,24.140053372519663,Rectangle
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",87,95,91.43114110430436,30,84,33,0,30,28,19,15,-9.411519679348352,14.602489637671813,28,28,270,22.74507135455969,10,1,36,21,33,4.87889218044932,24.521857697127725,87,36,180,27.21936363447756,10,1,36,60,15,-9.210105252370017,6.175762668603639,60,72,0,24,1,20.95102256678537,23.555878664184736,Rectangle
B-051,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",80,83,104.64969077352072,30,84,39,0,30,19,28,15,25.4865749989082,-4.262716569378712,64,100,180,24.416100334478102,10,1,36,21,33,11.717656884030731,5.149900491909573,21,36,0,25.49893935630554,10,1,36,60,15,5.939101567324216,5.886048609725801,36,100,0,24,0,23.88645089444347,20.660682667791903,Rectangle
B-010,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
96,0 ;
96,66 ;
36,66 ;
36,60 ;
0,60 ;
0,0""",98,98,103.53813833845092,30,84,39,0,30,28,19,15,-14.971993309077757,15.134273967689916,96,57,270,21.7505022831366,10,1,30,21,33,-17.74358760347817,9.955256278924246,96,30,0,26.75368698831589,10,1,36,60,15,-15.706206860676518,5.142325196707519,36,60,0,0,0,24.410172288247715,23.92181241891953,Rectangle
B-028,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",70,71,88.57148288466729,30,84,24,36,30,19,28,15,-10.0984594640544,9.789572584433504,28,28,180,21.72902570765638,10,1,36,21,33,-47.28763487658506,27.58378029998349,87,36,180,26.4110482028285,10,1,0,0,0,-126.70044740063778,6.731015531995937,0,0,270,0,1,24.603300576518816,21.63870537809403,Rectangle
B-016,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,66 ;
60,6 ;
60,0 ;
0,0""",96,77,105.2416667006791,30,84,60,33,30,19,28,15,5.697529851379724,-18.548432547954096,28,28,180,21.26439708154792,10,1,21,30,33,6.351398181230197,4.947907301661827,21,66,90,29.07029773125716,10,1,0,0,0,-98.6823508479626,-13.354015888816589,0,0,270,0,1,23.664118483675065,20.172664432937037,Rectangle
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",75,71,89.00561712092116,30,84,24,0,30,28,19,15,-39.243845191187006,20.77005894092179,87,28,270,20.005563559864864,10,1,36,21,33,-31.81224638731761,31.1317250997061,21,36,180,28.49336017912593,10,1,0,0,0,-12.50246218203727,-71.31766556351957,0,0,180,0,1,24.02310388158922,23.27088183411107,Rectangle
