Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Front_Clearance,Bathtub_Side_Clearance
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",75.64333434643197,91.06859003829896,91.20224197800891,30,84,33,0,30,19,28,15,7.750666530131037,8.82317136539959,28,28,90,21.208532051055084,10,1,36,21,33,18.452375989600736,8.167748275651377,87,36,270,27.535119019809486,10,1,36,60,15,2.010221173178955,5.414882240062811,60,72,0,24,1,20.172390594585863,23.5079817952129
B-043,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",111.75102672615687,56.9438406000411,100.30334110568069,30,84,27,0,30,19,28,15,31.357890001885803,4.358183423980042,28,58,270,20.862442958059937,10,1,30,21,33,14.347349060242788,7.649045611368322,21,30,0,28.142524984645046,10,1,36,60,15,-49.734114847492,-12.599267860369867,60,102,270,24,1,20.500594242353966,22.391301956778484
B-018,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",61.68790598270319,65.31194860855312,98.18435411427619,30,84,33,57,30,19,28,15,-14.649826940926399,8.415434235845659,28,49,270,21.967935346926726,10,1,36,21,33,7.52033455362616,7.370703704565451,66,21,90,27.727723068374807,10,1,0,0,0,-5.798543725399193,7.329277666625402,0,0,0,0,1,24.69250661305294,24.914210553216034
B-024,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",55.24343902865219,64.04606492908061,92.76166277471577,30,84,33,60,30,19,28,15,2.413970261323683,5.509470950683874,28,28,0,22.714667301663063,10,1,30,21,33,-11.811451389287566,4.547355489610229,66,21,180,28.65230603773391,10,1,0,0,0,0.16269017152059906,5.958964352968002,0,0,0,0,1,22.485502165239772,22.783804689618336
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",60.04878795975137,70.22344731049722,104.39108162316299,30,84,30,0,30,19,28,15,5.883342250468966,6.38985081111883,27,60,0,22.012421707933147,10,1,30,21,33,-16.809198884769813,11.262588120754755,66,60,180,25.074345037198327,10,1,0,0,0,-100.85861103651467,8.466317598965604,0,0,270,0,1,22.579220812317622,20.802905419962457
B-040,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",58.86943446391142,101.81990100502743,88.87132214604343,30,84,102,3,30,19,28,15,-20.2292702226623,26.0751451923576,63,60,270,22.866707913081285,10,1,30,21,33,-1.6323290633677772,11.756992170768909,102,60,270,27.022182157286394,10,1,36,60,15,-25.14535260039971,-59.716230305639186,36,60,180,24,1,20.603299902102385,20.880081209910454
B-023,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",63.62542501036185,53.977615433302745,103.34779522341728,30,84,57,33,30,19,28,15,9.590713008145304,-24.424566570604707,48,28,90,20.921280703398036,10,1,36,21,33,0.1818323475507455,-4.635620620338903,21,66,180,27.964935243779372,10,1,0,0,0,-16.788238216678675,7.447043355639846,0,0,0,0,1,22.405010450562713,24.467754309511882
B-003,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",53.10605249856375,68.44026544200933,92.60987042953883,30,84,33,0,30,19,28,15,5.352831263335917,-4.923290412043821,28,28,90,22.457917617171688,10,1,36,21,33,-13.669460861287169,11.540626170591656,66,57,180,26.380436508560283,10,1,0,0,0,-105.31481174714285,4.974480595782923,0,0,270,0,1,24.856763883246277,24.382518191689265
B-017,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",61.63659453235613,70.26392572225342,93.4865956742044,30,84,3,0,30,19,28,15,-18.873099503776267,12.590816089306498,66,28,270,22.510861830262726,10,1,36,21,33,4.039187337865734,-4.128615352280688,36,57,270,25.477571652454053,10,1,0,0,0,-99.29815921279311,4.404760218552018,0,0,270,0,0,21.656548108241836,24.360881339427134
B-044,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",105.49731604375161,64.24523387138785,94.72600945615784,30,84,3,0,30,19,28,15,6.6729057603524575,-8.390858233504154,60,58,90,24.480001600497463,10,1,30,21,33,46.21209335829863,-10.265829783140028,60,30,270,27.053524048589196,10,1,36,60,15,18.73156189131628,6.638574586570416,60,102,0,24,1,22.286253968556153,24.974330351759306
B-031,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",86.65931643908307,37.622986870218625,101.94600900443236,30,84,0,24,30,19,28,15,8.590401071897457,-2.418172178957395,28,87,90,21.711936005950783,10,1,36,21,33,8.901566622028454,-11.088542377013944,36,21,90,25.98419470432165,10,1,0,0,0,-71.25833865080537,-35.83628483842466,0,0,270,0,1,22.12081706500586,20.283901603808623
