Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Exists
B-045,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",107.18815797555,63.35169135148154,94.22651330439562,30,84,27,102,30,19,28,15,0.0,63.35169135148154,28,63,0,30,9,1,30,21,33,107.18815797555,72.0,21,102,0,35,0,1,36,60,15,0.0,0.0,60,36,0,24,1,1
B-020,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",69.38625190348068,53.96512728123493,87.10434725520531,30,84,0,33,30,19,28,15,69.38625190348068,0.0,28,28,90,30,9,1,36,21,33,36.0,0.0,57,66,0,35,0,1,0,0,0,96.34321387113002,0.0,0,0,180,0,0,1
B-018,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",53.79106306972359,59.73882240360788,89.81969621720347,30,84,33,57,30,19,28,15,53.79106306972359,30.0,28,49,90,30,9,1,36,21,33,30.0,0.0,66,21,0,35,0,1,0,0,0,0.0,0.0,0,0,270,0,0,1
B-058,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,6 ;
0,66 ;
96,66 ;
96,0 ;
36,0 ;
36,6 ;
0,6""",67.56898357551879,88.24776726577336,100.19692347088927,30,84,39,66,30,19,28,15,68.0,0.0,96,28,270,30,9,1,30,21,33,75.0,0.0,96,66,0,35,0,1,36,60,15,32.7001663255177,6.0,36,66,270,0,1,1
B-006,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",62.28487768996263,109.00025017143739,99.33698570418815,30,84,3,0,30,19,28,15,0.0,32.0,59,60,90,30,9,1,30,21,33,62.28487768996263,39.0,30,60,90,35,0,1,36,60,15,66.0,0.0,102,60,90,24,1,1
B-005,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",35.917377203311226,89.52759674564088,102.73585428146534,30,84,33,0,30,19,28,15,0.0,89.52759674564088,28,28,180,30,9,1,36,21,33,0.0,0.0,87,36,270,35,0,1,0,0,0,32.011396603158104,0.0,0,0,90,0,0,1
B-017,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",62.31730197776568,65.7659880060662,89.66679285246968,30,84,3,0,30,19,28,15,62.31730197776568,9.0,66,28,90,30,9,1,36,21,33,0.0,65.7659880060662,36,57,90,35,0,1,0,0,0,36.92589381938359,65.7659880060662,0,0,180,0,0,0
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",72.09597852154076,89.23538841210836,99.7525725696346,30,84,33,0,30,19,28,15,0.0,9.0,28,28,270,30,9,1,36,21,33,0.0,0.0,87,36,180,35,0,1,36,60,15,27.406960702506268,89.23538841210836,60,72,90,24,1,1
B-029,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",91.66515644430483,35.80560841245632,90.12688517801628,30,84,36,33,30,19,28,15,0.0,0.0,28,28,90,30,9,1,36,21,33,0.0,0.0,36,87,90,35,0,1,0,0,0,97.73441765369893,0.0,0,0,270,0,0,1
B-027,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",36.64895240219825,78.53393872607305,90.3691322029262,30,84,33,36,30,19,28,15,36.64895240219825,9.0,28,28,0,30,9,1,36,21,33,0.0,0.0,87,36,270,35,0,1,0,0,0,61.03282020435674,0.0,0,0,0,0,0,1
B-002,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",59.12952724392325,71.18610590222278,104.99669271254874,30,84,66,3,30,19,28,15,8.0,71.18610590222278,27,60,0,30,9,1,30,21,33,59.12952724392325,39.0,66,60,270,35,0,1,0,0,0,0.0,0.0,0,0,90,0,0,0
B-020,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",62.388923607817155,62.57877564701638,86.71837924045612,30,84,0,33,30,19,28,15,0.0,0.0,28,28,90,30,9,1,36,21,33,36.0,62.57877564701638,57,66,0,35,0,1,0,0,0,0.0,62.57877564701638,0,0,90,0,0,1
B-033,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",54.55620358608001,92.27849642615755,100.83717342893095,30,84,69,0,30,19,28,15,44.0,0.0,63,60,180,30,9,1,30,21,33,54.55620358608001,39.0,102,60,0,35,0,1,36,60,15,88.57548732365817,0.0,36,60,0,24,1,1
B-040,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",58.39506501173592,104.654223073017,97.02136135095057,30,84,102,3,30,19,28,15,58.39506501173592,32.0,63,60,0,30,9,1,30,21,33,0.0,39.0,102,60,270,35,0,1,36,60,15,58.39506501173592,0.0,36,60,0,24,1,0
B-052,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",107.21228225049701,72.67673169807452,94.05621387976605,30,84,39,100,30,19,28,15,107.21228225049701,0.0,64,28,180,30,9,1,36,21,33,0.0,0.0,21,100,270,35,0,1,36,60,15,0.0,72.67673169807452,36,60,0,24,1,1
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",36.78220537639412,94.10204695088022,90.08658005823376,30,84,24,0,30,19,28,15,59.0,0.0,87,28,0,30,9,1,36,21,33,0.0,0.0,21,36,90,35,0,1,0,0,0,35.4960014681801,0.0,0,0,90,0,0,0
B-052,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",94.27353329397017,66.17064927708391,93.70276871444977,30,84,39,100,30,19,28,15,94.27353329397017,0.0,64,28,180,30,9,1,36,21,33,0.0,64.0,21,100,0,35,0,1,36,60,15,0.0,0.0,36,60,180,24,1,1
B-031,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",90.3917507310824,38.91601528441912,99.36031113423616,30,84,0,24,30,19,28,15,9.0,0.0,28,87,0,30,9,1,36,21,33,90.3917507310824,0.0,36,21,180,35,0,1,0,0,0,29.962272231831463,0.0,0,0,180,0,0,1
B-017,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",56.139809881876644,60.4202071126854,93.48836263847106,30,84,3,0,30,19,28,15,38.0,0.0,66,28,0,30,9,1,36,21,33,56.139809881876644,36.0,36,57,90,35,0,1,0,0,0,86.43438478498831,0.0,0,0,270,0,0,1
B-045,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",106.7904979325684,62.2423687170795,102.82281453655546,30,84,27,102,30,19,28,15,0.0,44.0,28,63,270,30,9,1,30,21,33,0.0,72.0,21,102,270,35,0,1,36,60,15,0.0,0.0,60,36,270,24,1,1
B-054,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,72 ;
21,72 ;
21,36 ;
0,36 ;
0,0""",75.9510982955251,82.80097297145052,101.5211796616357,30,84,24,0,30,19,28,15,59.0,82.80097297145052,87,28,0,30,9,1,36,21,33,0.0,82.80097297145052,21,36,180,35,0,1,36,66,15,21.0,0.0,87,72,0,24,1,0
B-042,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",64.83976098202449,108.87598728496828,98.40201606279462,30,84,102,27,30,19,28,15,44.0,0.0,63,28,270,30,9,1,30,21,33,0.0,0.0,102,21,0,35,0,1,36,60,15,31.480723993686702,0.0,36,60,90,24,1,1
B-030,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",90.46469141461904,36.917124478578486,98.39040185215083,30,84,36,24,30,19,28,15,90.46469141461904,59.0,28,87,180,30,9,1,36,21,33,90.46469141461904,0.0,36,21,180,35,0,1,0,0,0,124.67186127355373,0.0,0,0,270,0,0,1
B-044,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",96.48662922818431,58.564042316638414,94.5443675262808,30,84,3,0,30,19,28,15,32.0,58.564042316638414,60,58,0,30,9,1,30,21,33,39.0,0.0,60,30,90,35,0,1,36,60,15,0.0,58.564042316638414,60,102,180,24,1,1
B-006,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",60.689109230308155,100.18631749169487,98.08884642933464,30,84,3,0,30,19,28,15,0.0,32.0,59,60,270,30,9,1,30,21,33,0.0,0.0,30,60,270,35,0,1,36,60,15,60.689109230308155,0.0,102,60,0,24,1,1
B-011,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",56.87808764871769,62.606475174580844,93.1325455965997,30,84,3,0,30,19,28,15,38.0,62.606475174580844,57,60,180,30,9,1,30,21,33,0.0,39.0,30,60,270,35,0,1,0,0,0,0.0,62.606475174580844,0,0,180,0,0,1
