Room_ID,Description,Number_of_Vertices,Shape_Type,Co-ordinates,Room_Length,Room_Width,Room_Height,Door_Width,Door_Height,Door_X_Position,Door_Y_Position,Door_Swing_Clearance,Toilet_Width,Toilet_Depth,Toilet_Height,Toilet_X_Position,Toilet_Y_Position,Toilet_X_End,Toilet_Y_End,Toilet_Rotation,Toilet_Front_Clearance,Toilet_Side_Clearance,Has_Toilet,Sink_Width,Sink_Depth,Sink_Height,Sink_X_Position,Sink_Y_Position,Sink_X_End,Sink_Y_End,Sink_Rotation,Sink_Front_Clearance,Sink_Side_Clearance,Has_Sink,Bathtub_Width,Bathtub_Depth,Bathtub_Height,Bathtub_X_Position,Bathtub_Y_Position,Bathtub_X_End,Bathtub_Y_End,Bathtub_Rotation,Bathtub_Entry_Clearance,Has_Bathtub,Bathtub_Front_Clearance,Bathtub_Side_Clearance
B-021,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",68.9094921565525,53.275756429920385,100.68365995635438,30,84,0,3,30,19,28,15,-2.210507843447502,2.7705998227951802,28,66,270,-17.84424357007962,22.86,1,36,21,33,-6.810527545256965,0.0,57,36,0,18.109492156552506,22.86,1,0,0,0,0.0,-26.6916341757673,0,0,90,0,0,-99.12424357007961,30
B-054,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,72 ;
21,72 ;
21,36 ;
0,36 ;
0,0""",72.5822167124475,83.15213849464565,97.8136745297701,30,84,24,0,30,19,28,15,10.138407838899656,0.0,87,28,0,1.4622167124474998,22.86,1,36,21,33,21.782216712447507,3.1878156485259863,21,36,270,32.35213849464566,22.86,1,36,66,15,-1.75076974097913,0.0,87,72,0,24,0,-79.8177832875525,30
B-032,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",92.42575994823724,37.235510183362614,91.94047913018738,30,84,0,33,30,19,28,15,21.305759948237238,-3.054485076234595,28,28,270,-33.88448981663739,22.86,1,36,21,33,15.510424436552492,-13.564489816637384,36,87,180,41.625759948237246,22.86,1,0,0,0,10.846710116502942,-115.1644898166374,0,0,180,0,1,-59.97424005176276,30
B-059,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,0 ;
60,0 ;
60,6 ;
96,6 ;
96,66 ;
0,66 ;
0,0""",61.626046544758246,98.35159696711531,101.2112348765157,30,84,27,66,30,19,28,15,-9.493953455241758,6.6871499547198,28,28,270,27.23159696711531,22.86,1,30,21,33,-7.164221616517619,0.0,21,66,0,10.826046544758249,22.86,1,36,60,15,-9.627287035996194,-54.04840303288469,96,66,180,0,1,-90.77395345524175,30
B-033,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",60.31207438570275,95.42233379188818,101.6098192396845,30,84,69,0,30,19,28,15,6.965165234909175,24.302333791888174,63,60,180,-10.807925614297254,22.86,1,30,21,33,-13.650755889262232,0.0,102,60,0,9.512074385702753,22.86,1,36,60,15,-13.332332340026015,0.0,36,60,0,24,1,-92.08792561429726,30
B-053,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",105.40795948322787,67.14937421352442,104.19998093253069,30,84,3,100,30,19,28,15,14.261558189355117,0.0,28,28,0,34.287959483227866,22.86,1,36,21,33,1.6512398315249315,0.0,72,100,0,54.60795948322787,22.86,1,36,60,15,0.0,-83.95637542879957,72,60,90,24,1,-85.25062578647558,30
B-020,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,66 ;
57,66 ;
57,0 ;
0,0""",65.59703267982228,51.56499439418332,96.74844924643759,30,84,0,33,30,19,28,15,0.0,-11.606656478009265,28,28,90,-19.55500560581668,22.86,1,36,21,33,0.0,0.6345833412608962,57,66,90,0.7649943941833257,22.86,1,0,0,0,-10.568655901475564,0.0,0,0,0,0,1,-86.80296732017773,30
B-033,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",54.93028616881563,108.63347958518841,105.38343352377908,30,84,69,0,30,19,28,15,0.0,27.073604201377226,63,60,90,37.513479585188406,22.86,1,30,21,33,0.0,26.35432310165625,102,60,90,57.833479585188414,22.86,1,36,60,15,-97.46971383118438,4.150053772266283,36,60,270,24,1,-43.766520414811595,30
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",39.32160612441054,91.4427963333355,96.52819521811685,30,84,24,0,30,19,28,15,0.0,4.727406894024865,87,28,90,20.32279633333549,22.86,1,36,21,33,-22.595571012995347,0.0,21,36,0,-11.478393875589454,22.86,1,0,0,0,-14.096479702822155,0.0,0,0,0,0,1,-113.07839387558946,30
B-002,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",58.284577531084295,69.14868470723832,89.04159719961264,30,84,66,3,30,19,28,15,0.6657588379791887,-1.9713152927616875,27,60,180,-12.83542246891571,22.86,1,30,21,33,-10.616501059789805,0.0,66,60,0,7.484577531084298,22.86,1,0,0,0,-94.11542246891571,-5.242014140047751,0,0,270,0,1,-83.25131529276169,30
B-056,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""21,0 ;
87,0 ;
87,72 ;
0,72 ;
0,36 ;
21,36 ;
21,0""",71.65397165379541,92.63604531664983,97.3220486118373,30,84,24,72,30,19,28,15,12.784507771465924,0.0,87,64,0,0.5339716537954047,22.86,1,36,21,33,20.853971653795412,4.100867433473102,21,72,270,41.83604531664983,22.86,1,36,66,15,-3.7453456930790567,-59.76395468335018,87,36,180,24,1,-80.7460283462046,30
B-019,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",61.32392151659406,69.30634835769897,99.71042953983738,30,84,3,57,30,19,28,15,7.450747976025196,-1.8136516423010391,66,49,180,-9.796078483405942,22.86,1,36,21,33,-11.269586445030143,18.50634835769897,36,21,180,10.523921516594065,22.86,1,0,0,0,-91.07607848340595,-0.49910722422279863,0,0,270,0,1,-83.09365164230104,30
B-050,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,100 ;
72,100 ;
72,0 ;
0,0""",100.21797947453126,70.65485822993023,94.62575208942617,30,84,3,0,30,19,28,15,20.438644350317993,-0.46514177006977775,28,100,180,29.097979474531257,22.86,1,36,21,33,0.0,6.3104063406750255,72,36,90,19.85485822993023,22.86,1,36,60,15,0.0,-12.255694885158928,72,100,90,24,1,-81.74514177006978,30
B-004,Bathroom - Half Bath (2-Wall),4,Rectangle,"""0,0 ;
0,57 ;
66,57 ;
66,0 ;
0,0""",61.64928926035203,64.28749660184238,92.06581778468296,30,84,66,3,30,19,28,15,0.0,-5.551210310894131,28,28,90,-6.832503398157627,22.86,1,36,21,33,10.84928926035203,-5.688194635347774,66,57,270,13.48749660184238,22.86,1,0,0,0,-4.052571760883515,-88.11250339815763,0,0,180,0,1,-90.75071073964799,30
B-054,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,72 ;
21,72 ;
21,36 ;
0,36 ;
0,0""",65.7234926071282,82.17552279029725,98.67517476479374,30,84,24,0,30,19,28,15,16.350914567431886,0.0,87,28,0,-5.396507392871811,22.86,1,36,21,33,-5.600934907241436,0.0,21,36,0,14.923492607128196,22.86,1,36,66,15,0.0,-11.255171558054398,87,72,90,24,1,-70.22447720970275,30
B-026,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,36 ;
87,36 ;
87,0 ;
0,0""",35.3818657732822,89.97568928297213,97.23698512373846,30,84,24,0,30,19,28,15,0.0,5.625279999622755,87,28,90,18.855689282972122,22.86,1,36,21,33,-15.418134226717797,3.2771459965271164,21,36,270,39.17568928297213,22.86,1,0,0,0,-38.61407551837963,-62.42431071702788,0,0,180,0,1,-117.0181342267178,30
B-001,Bathroom - Half Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
66,60 ;
66,0 ;
0,0""",56.34261472317695,65.13113308180696,92.14218710190164,30,84,30,0,30,19,28,15,0.37152844484294034,0.0,27,60,0,-14.777385276823054,22.86,1,30,21,33,-0.8813923801732483,0.0,66,60,0,5.542614723176953,22.86,1,0,0,0,-96.05738527682306,-9.589170198871592,0,0,270,0,1,-87.26886691819304,30
B-044,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,102 ;
60,102 ;
60,0 ;
0,0""",103.59828873961287,58.04167679561148,99.0952171396745,30,84,3,0,30,19,28,15,0.0,-7.902880545267786,60,58,90,-13.078323204388525,22.86,1,30,21,33,52.79828873961287,-4.135393390549115,60,30,270,7.2416767956114825,22.86,1,36,60,15,-48.80171126038714,-15.799037736176176,60,102,270,24,0,-94.35832320438853,30
B-058,Bathroom - Three-Quarter Bath (Wall Facing),6,L-Shaped,"""0,6 ;
0,66 ;
96,66 ;
96,0 ;
36,0 ;
36,6 ;
0,6""",61.52294336634235,97.86888073972415,92.1885812218177,30,84,39,66,30,19,28,15,0.0,22.671058016368388,96,28,90,26.748880739724143,22.86,1,30,21,33,10.722943366342356,14.569135537497091,96,66,270,47.06888073972415,22.86,1,36,60,15,0.0,-7.245635500666362,36,66,90,0,1,-54.53111926027586,30
B-008,Bathroom - Three-Quarter Bath (2-Wall),4,Rectangle,"""0,0 ;
0,72 ;
100,72 ;
100,0 ;
0,0""",66.26700601658128,95.68568039964886,100.24308212667111,30,84,100,3,30,19,28,15,-4.8529939834187275,36.27942037525653,28,28,270,24.565680399648855,22.86,1,36,21,33,15.46700601658128,13.463368922670778,100,72,270,44.88568039964886,22.86,1,36,60,15,-5.65172488637553,0.0,60,72,0,24,0,-86.13299398341873,30
B-007,Bathroom - Three-Quarter Bath (1-Wall),4,Rectangle,"""0,0 ;
0,60 ;
102,60 ;
102,0 ;
0,0""",59.74434084029859,107.40117961991899,90.38170939711142,30,84,0,3,30,19,28,15,0.6466241747506896,36.28117961991899,59,60,180,-11.375659159701414,22.86,1,30,21,33,8.944340840298594,6.183149057122329,30,60,270,56.601179619918994,22.86,1,36,60,15,0.0,-12.324514923658873,102,60,90,24,0,-44.998820380081014,30
B-030,Bathroom - Half Bath (2-Wall) - Facing,4,Rectangle,"""0,0 ;
0,87 ;
36,87 ;
36,0 ;
0,0""",80.38543691757474,34.7681025949212,101.380772991039,30,84,36,24,30,19,28,15,9.265436917574732,-0.6824724321284676,28,87,270,-36.3518974050788,22.86,1,36,21,33,2.0327627217273805,0.0,36,21,0,29.58543691757474,22.86,1,0,0,0,-72.01456308242527,-11.683009737267872,0,0,270,0,1,-117.6318974050788,30
B-054,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,72 ;
21,72 ;
21,36 ;
0,36 ;
0,0""",78.12552519416828,80.15497022321566,88.74811537067636,30,84,24,0,30,19,28,15,18.478359897513258,0.0,87,28,0,7.005525194168271,22.86,1,36,21,33,0.19209990360698814,0.0,21,36,0,27.32552519416828,22.86,1,36,66,15,0.0,-23.965114559301423,87,72,90,24,1,-72.24502977678435,30
B-009,Bathroom - Three-Quarter Bath (2-Wall) - Center,6,L-Shaped,"""0,0 ;
87,0 ;
87,36 ;
66,36 ;
66,72 ;
0,72 ;
0,0""",76.83312642595125,90.28247854326912,101.14211487921935,30,84,33,0,30,19,28,15,7.2530551745956,0.0,28,28,0,5.713126425951245,22.86,1,36,21,33,26.033126425951252,3.34511034666043,87,36,270,39.482478543269124,22.86,1,36,60,15,0.6023101096929907,0.0,60,72,0,24,1,-75.56687357404876,30
